cust_id,cibil_score
1164,qui
5391,ipsum
9898,ratione
9748,dolorum
5665,assumenda
9569,expedita
4685,dignissimos
8589,maiores
5106,voluptatum
8704,expedita
8334,suscipit
2572,culpa
4731,a
5384,iure
8638,quisquam
2194,vero
7349,amet
7197,suscipit
3997,autem
8673,ullam
1224,minus
6482,alias
4759,atque
9438,facilis
8983,fugit
3567,asperiores
7368,fuga
4540,repellendus
3652,itaque
6205,sequi
5423,eaque
3289,maxime
5357,atque
6110,molestiae
6838,soluta
7000,quod
6023,quo
3495,mollitia
1387,quae
9056,culpa
7857,maxime
3759,ipsa
8965,ullam
1761,quam
4967,magni
3328,fuga
9280,quos
1394,impedit
2384,eveniet
7873,laboriosam
5611,recusandae
8112,soluta
5084,totam
9282,maxime
6240,distinctio
3872,facilis
9982,necessitatibus
9109,nesciunt
2096,ratione
1779,odit
8648,voluptatem
7767,ex
2346,totam
6651,itaque
3105,ducimus
5760,quasi
8743,ducimus
7547,nihil
3252,aspernatur
4658,eius
2833,quos
9018,assumenda
2607,sed
6732,deleniti
6905,praesentium
4038,blanditiis
7948,sunt
2853,illo
5196,animi
3135,maxime
6524,alias
1231,unde
1135,maxime
4901,omnis
8345,distinctio
3828,ullam
9838,aliquam
9282,nostrum
8456,modi
7529,minima
1094,possimus
8467,accusamus
9613,maiores
8061,maxime
9519,optio
8441,exercitationem
9046,possimus
3477,laborum
7159,debitis
4042,aliquam
3310,porro
9944,placeat
3757,asperiores
5459,sint
4551,modi
5000,sapiente
9558,porro
1903,commodi
7882,eligendi
3287,eligendi
3180,cum
5891,deserunt
2952,atque
4547,saepe
8291,a
1981,unde
7307,magnam
7772,inventore
8880,excepturi
3449,numquam
4593,dolor
6444,voluptatibus
1776,commodi
3527,impedit
7807,sit
2019,excepturi
1286,illum
1562,fugiat
3362,reprehenderit
2396,laudantium
5406,suscipit
3903,magni
9040,tempora
8186,rem
4303,unde
3673,natus
5669,minus
7084,nostrum
9586,exercitationem
3400,corrupti
4732,repudiandae
8258,architecto
2386,quod
2429,deserunt
5000,eos
3088,iusto
2974,nobis
3692,rem
2395,error
7164,tempore
4627,aliquam
8009,cupiditate
7690,voluptatem
4784,suscipit
4407,provident
7775,officiis
9606,occaecati
5953,minima
4926,facilis
5902,itaque
1957,blanditiis
4812,perspiciatis
5854,at
2820,ut
8157,amet
7882,recusandae
6251,harum
4427,modi
9990,perferendis
3622,nulla
5185,ipsum
6626,non
4018,tempora
7829,suscipit
1413,unde
6050,aliquam
6776,consequatur
9194,aut
7700,amet
6076,voluptatibus
8331,recusandae
2989,in
8536,velit
1185,dolorem
8063,inventore
7797,delectus
8301,magnam
5761,eos
6624,maiores
8205,similique
1986,nam
6040,incidunt
2379,dolor
8695,dicta
7674,non
4781,asperiores
9585,doloremque
1105,doloremque
7866,voluptatibus
8120,at
7051,nobis
4035,eos
3091,voluptas
6623,ullam
2197,assumenda
