agent_id,total_calls,resolution_rate,coll_efficiency_perc
odit,illo,molestiae,ipsam
quis,veritatis,quos,odit
cumque,perspiciatis,placeat,veniam
officiis,molestiae,voluptatum,accusantium
rem,autem,debitis,recusandae
laudantium,vero,sunt,enim
voluptate,ea,incidunt,sapiente
at,quisquam,adipisci,tenetur
pariatur,quibusdam,eius,odio
perspiciatis,provident,possimus,asperiores
incidunt,eius,nostrum,minima
voluptatem,incidunt,laboriosam,eos
reiciendis,pariatur,iusto,culpa
sit,tempore,nihil,perferendis
saepe,odit,doloribus,incidunt
eos,laudantium,laudantium,deleniti
laboriosam,provident,consequuntur,excepturi
vero,pariatur,architecto,laudantium
quasi,ipsam,atque,accusantium
aut,autem,aliquid,beatae
autem,vitae,error,laboriosam
aspernatur,voluptatibus,necessitatibus,aliquid
quae,aperiam,placeat,consequuntur
inventore,doloribus,impedit,voluptas
ducimus,quam,sapiente,veritatis
consequuntur,voluptatum,laborum,maxime
totam,exercitationem,accusamus,ea
placeat,earum,autem,deleniti
assumenda,at,officia,quos
omnis,mollitia,iusto,animi
labore,distinctio,quod,nesciunt
delectus,deleniti,accusantium,aspernatur
modi,non,iusto,delectus
nihil,nulla,amet,odit
explicabo,praesentium,omnis,dolor
perferendis,vel,ipsum,beatae
soluta,atque,laboriosam,laborum
repellendus,voluptate,nobis,eligendi
occaecati,excepturi,earum,corrupti
nulla,atque,quam,veniam
illo,debitis,minima,harum
placeat,facilis,hic,quasi
tenetur,aliquam,consequatur,quos
at,aliquid,ipsum,alias
aliquam,numquam,eveniet,veniam
occaecati,possimus,dolor,soluta
autem,modi,ex,error
atque,aspernatur,nobis,repellendus
nemo,culpa,nostrum,sint
adipisci,dolorum,officia,cumque
nostrum,sapiente,ducimus,fugit
minima,suscipit,rerum,quibusdam
assumenda,deserunt,nobis,labore
quasi,aliquam,quos,sunt
nihil,minima,quasi,molestiae
fugit,deleniti,illum,quas
quam,adipisci,architecto,fugit
eaque,quisquam,itaque,magni
ab,quod,itaque,aspernatur
corrupti,autem,adipisci,veniam
dolor,nulla,neque,voluptate
ipsam,minus,veritatis,doloremque
incidunt,officiis,nostrum,laboriosam
voluptas,iste,exercitationem,praesentium
fugiat,maiores,tenetur,delectus
ullam,modi,a,amet
quibusdam,rem,non,laudantium
fuga,praesentium,voluptatibus,dolore
fuga,omnis,tempore,provident
velit,mollitia,animi,eveniet
consequatur,aut,cum,accusamus
quidem,nesciunt,vitae,ad
assumenda,perferendis,temporibus,ad
vel,nemo,excepturi,magnam
doloremque,at,animi,accusamus
blanditiis,iure,delectus,voluptatum
tempore,nam,culpa,minus
nisi,vitae,dignissimos,necessitatibus
doloribus,atque,magni,ab
quo,eaque,ullam,hic
ipsum,molestiae,soluta,beatae
tenetur,dicta,dicta,commodi
minima,eum,tempore,nesciunt
excepturi,saepe,cupiditate,dolorum
quas,sapiente,voluptas,sint
consequuntur,minima,veritatis,iste
voluptas,eum,magnam,numquam
dolor,recusandae,illum,expedita
perspiciatis,officia,eos,culpa
quibusdam,qui,tempora,illum
praesentium,error,distinctio,exercitationem
perspiciatis,ipsam,ratione,quaerat
officiis,repellendus,minus,harum
dolorem,ab,perspiciatis,aperiam
magni,tempore,in,impedit
eveniet,molestiae,exercitationem,atque
culpa,non,adipisci,error
doloremque,incidunt,quasi,optio
occaecati,deserunt,nulla,blanditiis
nemo,cumque,ratione,voluptatibus
adipisci,sunt,harum,iste
veniam,quae,laudantium,laborum
est,itaque,repellendus,dolorem
quos,voluptate,deleniti,optio
voluptatibus,sequi,quidem,ullam
sapiente,officia,rem,velit
magni,ut,amet,sint
sequi,pariatur,sequi,laboriosam
consectetur,omnis,atque,sit
nihil,porro,nam,tempore
quo,sunt,magni,temporibus
laudantium,temporibus,ad,laboriosam
