mapping_id,primary_cust_id,secondary_cust_id,relation_type,joint_hold_flag
praesentium,eum,dignissimos,reprehenderit,dicta
quibusdam,quae,id,commodi,harum
exercitationem,nesciunt,at,suscipit,modi
aliquam,sint,soluta,earum,possimus
quas,quia,beatae,dolorum,officia
aspernatur,rem,corporis,atque,voluptate
id,esse,explicabo,maxime,dolorum
animi,molestiae,totam,soluta,eum
consequuntur,beatae,aperiam,nisi,ipsum
tenetur,quidem,facilis,libero,in
similique,quis,molestiae,repudiandae,eaque
facilis,rerum,corporis,a,temporibus
magni,amet,commodi,repellat,nulla
architecto,reiciendis,beatae,perferendis,distinctio
corrupti,temporibus,soluta,molestias,officiis
incidunt,alias,doloremque,accusamus,pariatur
pariatur,illum,eos,ducimus,cupiditate
sequi,aut,facere,dolore,temporibus
sint,repellat,reprehenderit,eos,praesentium
praesentium,a,minima,maiores,eum
neque,occaecati,incidunt,dicta,maiores
tempora,adipisci,rem,nesciunt,veniam
alias,sed,molestiae,earum,quis
architecto,incidunt,cum,alias,aspernatur
consequatur,enim,saepe,necessitatibus,in
quibusdam,blanditiis,aperiam,ipsa,quasi
aliquam,recusandae,iste,illo,suscipit
id,perspiciatis,ad,odio,debitis
vel,vel,tempore,neque,dolor
autem,reiciendis,dicta,repellendus,commodi
tempore,eos,omnis,fuga,pariatur
molestias,necessitatibus,voluptate,nisi,necessitatibus
reiciendis,quia,totam,autem,commodi
consequatur,beatae,minus,corporis,beatae
expedita,tempore,rerum,exercitationem,nisi
provident,excepturi,nobis,laboriosam,in
officia,culpa,excepturi,sequi,commodi
eos,consectetur,molestiae,deserunt,dicta
nam,at,suscipit,dolorum,numquam
provident,corrupti,quidem,cumque,enim
dolorem,quia,atque,et,iste
suscipit,at,nostrum,saepe,reiciendis
ut,incidunt,velit,fugiat,ex
facilis,voluptatum,veritatis,ratione,porro
eius,commodi,voluptas,est,suscipit
culpa,totam,ea,aspernatur,quisquam
pariatur,dignissimos,soluta,dolorum,quos
dolorum,incidunt,sunt,et,non
soluta,repudiandae,corrupti,iusto,aliquam
laboriosam,iste,similique,facilis,hic
laboriosam,neque,cum,rem,quam
fugit,aperiam,doloremque,culpa,nam
maiores,quia,officiis,temporibus,assumenda
