loan_id,cust_id,sanctioned_amt,principal_os,interest_os,emi_amt_fixed,loan_status
47861,7898,nemo,perferendis,atque,animi,tempora
12249,8553,officiis,illum,earum,ex,harum
64434,1798,reiciendis,eos,sunt,ex,ipsa
67923,5619,nisi,sequi,laudantium,illum,reiciendis
97174,1991,ullam,voluptatibus,officiis,quia,est
13864,2535,ut,alias,aspernatur,blanditiis,porro
48979,7339,id,quaerat,quae,minima,rem
13582,7001,impedit,quibusdam,ipsa,dignissimos,voluptatum
28853,5433,autem,suscipit,aspernatur,numquam,nesciunt
81094,1277,eligendi,adipisci,molestiae,quibusdam,aliquam
72964,7732,culpa,omnis,sint,enim,ab
57323,2279,reprehenderit,repudiandae,omnis,molestias,perspiciatis
67393,7210,eveniet,ea,illum,ad,sunt
18085,1253,doloribus,omnis,harum,cumque,atque
83683,6921,facere,fugit,error,deleniti,nam
92223,4023,ut,architecto,recusandae,inventore,itaque
82318,6623,harum,vitae,tempora,libero,nihil
36432,6190,iusto,assumenda,cupiditate,placeat,molestiae
28491,6162,iste,praesentium,laudantium,minima,maiores
45026,5845,similique,laudantium,fugit,beatae,porro
24127,9296,maiores,eius,vitae,dolorum,beatae
48984,4423,tempore,eaque,tenetur,quibusdam,minima
16692,3524,unde,asperiores,consectetur,odio,quis
38279,4660,illum,nisi,asperiores,reiciendis,amet
83597,9781,quidem,saepe,excepturi,rerum,at
30265,5974,molestiae,sapiente,adipisci,commodi,itaque
96664,7702,cupiditate,doloribus,qui,temporibus,magni
45855,6779,provident,dolorum,nostrum,soluta,veritatis
27968,6062,sapiente,est,minima,officia,earum
30393,9925,nam,tempora,facilis,nulla,amet
61565,7677,veritatis,aperiam,consequuntur,ex,error
74718,4651,rem,ut,reprehenderit,repudiandae,et
56271,9806,expedita,minus,dolore,libero,distinctio
98320,4618,eaque,adipisci,provident,tenetur,veniam
62151,1561,possimus,expedita,distinctio,a,alias
38130,9433,facere,nostrum,et,repellendus,architecto
92522,9396,possimus,fuga,praesentium,ad,ullam
62850,3541,excepturi,et,laborum,unde,temporibus
54793,1291,sint,reprehenderit,pariatur,ea,eveniet
14054,3936,aliquam,excepturi,fuga,eaque,quam
21992,3984,nisi,quas,sapiente,velit,molestias
55029,5411,nobis,excepturi,non,a,consequatur
76317,1923,beatae,sapiente,commodi,vel,ipsam
15989,5672,vero,corporis,explicabo,neque,est
32373,4654,libero,cupiditate,rem,rerum,natus
66938,7210,minima,nostrum,vel,voluptas,dicta
14055,9791,dolorum,eos,aut,tempora,nisi
40012,2952,consectetur,repellendus,qui,repellat,cupiditate
29459,6672,numquam,quos,voluptatibus,deserunt,asperiores
55987,9851,nam,veritatis,voluptatum,cupiditate,ex
80253,6229,dolor,consequuntur,debitis,ad,ab
81256,2022,perferendis,eaque,enim,eum,tenetur
17195,6891,quisquam,corporis,iusto,corrupti,iusto
41814,8320,molestiae,accusamus,recusandae,dignissimos,placeat
23851,4181,veritatis,nulla,eveniet,aperiam,at
70585,4416,ducimus,deserunt,iusto,ab,molestiae
69006,1665,totam,porro,commodi,adipisci,labore
77116,2262,perferendis,ducimus,esse,debitis,aspernatur
14797,4171,ad,aliquam,illo,ipsam,adipisci
38125,1732,soluta,placeat,debitis,iste,cumque
38080,3843,molestias,dolore,at,qui,eos
54058,6999,id,ea,vero,natus,voluptas
45816,6040,laboriosam,fuga,quibusdam,explicabo,temporibus
70519,6498,voluptate,laborum,eum,voluptates,qui
26821,6302,laborum,dolore,ad,recusandae,sed
70470,1822,assumenda,quos,omnis,iure,incidunt
86756,7429,nemo,pariatur,iure,praesentium,nostrum
84192,1683,quo,nemo,praesentium,rem,ut
92364,7459,eum,libero,vitae,voluptatem,architecto
82616,4117,aliquid,possimus,a,perferendis,voluptates
87931,3433,necessitatibus,iusto,pariatur,repellat,aspernatur
71778,9539,fuga,culpa,explicabo,dolor,voluptatem
21744,1430,aut,iusto,sint,delectus,molestias
18366,5795,facere,fugiat,aliquid,voluptas,omnis
63932,4214,ut,quasi,inventore,molestiae,error
81630,2487,sunt,consectetur,quam,recusandae,suscipit
20683,9209,dignissimos,ducimus,labore,architecto,labore
20419,1935,doloremque,ut,occaecati,placeat,dignissimos
73073,7674,veritatis,sequi,cum,voluptates,voluptas
49030,5842,laborum,rerum,fuga,in,autem
37142,5230,laboriosam,aperiam,possimus,sequi,ipsam
39280,2169,hic,dicta,omnis,nobis,quaerat
46251,2939,repellat,ratione,quasi,eius,quod
32215,5131,labore,nostrum,ullam,temporibus,dolorum
73630,6525,expedita,doloribus,similique,aperiam,accusantium
44615,9408,eveniet,sunt,quas,ad,dolorum
34074,9258,occaecati,minus,dolorem,deleniti,voluptates
84025,1956,explicabo,accusantium,facilis,illo,omnis
39823,2430,eveniet,quae,suscipit,aut,commodi
38840,7016,praesentium,consequuntur,enim,incidunt,aspernatur
58061,6844,sapiente,doloremque,eveniet,est,sapiente
71459,4580,placeat,reprehenderit,recusandae,labore,ad
