loan_id,asset_type,valuation_amt,ltv_ratio,insurance_expiry
90601,maxime,tempore,eligendi,natus
83673,ad,iusto,nam,velit
34525,ipsam,unde,nisi,quia
46958,rerum,aperiam,voluptates,ullam
79883,vel,recusandae,possimus,odio
57439,voluptate,architecto,doloremque,temporibus
60739,aliquid,architecto,ducimus,recusandae
87582,fugit,porro,facere,nulla
43468,assumenda,praesentium,debitis,repellat
63311,libero,consectetur,architecto,corporis
70150,commodi,dolore,placeat,praesentium
23528,quia,id,quos,temporibus
39935,ipsam,ad,hic,magni
69492,asperiores,aliquam,maxime,tenetur
87390,delectus,maiores,impedit,repellat
16500,officiis,repellat,ducimus,architecto
34168,ut,eos,atque,molestiae
64217,repudiandae,quod,harum,repellat
27787,quod,at,expedita,earum
43342,sequi,vel,saepe,nisi
83441,voluptates,maiores,qui,nobis
59692,delectus,corporis,dicta,porro
69400,ut,ipsam,sunt,nisi
49177,rerum,cumque,consequatur,quas
26776,expedita,doloribus,dolor,molestiae
68019,non,quia,consequatur,incidunt
17938,alias,facilis,praesentium,consequuntur
67409,iure,eligendi,assumenda,reprehenderit
44303,velit,fugiat,ad,magnam
67919,occaecati,odit,adipisci,ea
47267,eaque,necessitatibus,voluptas,iste
55814,velit,corporis,rerum,facere
32378,sapiente,quae,est,praesentium
73885,maxime,necessitatibus,aspernatur,esse
73978,possimus,eos,quis,alias
36857,doloremque,facere,reprehenderit,quidem
46877,ad,sed,a,culpa
32500,beatae,saepe,doloremque,architecto
94685,cumque,error,quam,explicabo
32845,dolore,neque,voluptates,ea
27142,ipsam,neque,maiores,sit
55198,ex,aspernatur,doloremque,ad
45047,repudiandae,aut,commodi,impedit
27976,quis,eum,quas,voluptatum
72930,nulla,saepe,ad,odio
45844,dolorem,quod,facilis,ipsum
69272,eum,fugit,vero,vel
36014,tempora,optio,facere,nihil
64306,hic,consequatur,odio,voluptatem
47057,quia,nam,maxime,assumenda
86544,nam,distinctio,magnam,asperiores
67564,delectus,quod,asperiores,ea
79692,aliquid,sunt,dolore,doloribus
59991,nulla,cupiditate,culpa,suscipit
37921,laudantium,repudiandae,dolore,quidem
39703,eaque,ab,quibusdam,impedit
15919,doloribus,velit,architecto,sequi
34765,aspernatur,voluptatibus,modi,quasi
70282,neque,odit,delectus,enim
52100,eaque,distinctio,nobis,repellat
77009,eaque,animi,iste,id
59979,voluptatum,eos,eveniet,officia
43485,suscipit,ab,corrupti,aut
25751,tempore,atque,maxime,veritatis
91480,sequi,enim,voluptas,animi
90462,dignissimos,error,esse,voluptas
11739,neque,voluptates,illo,eius
83545,eum,beatae,consequatur,quis
57639,itaque,optio,voluptatibus,repellendus
99094,dicta,aperiam,et,exercitationem
55369,distinctio,assumenda,tempora,quas
50443,voluptatem,in,delectus,voluptas
71140,voluptate,laudantium,sunt,a
30567,molestiae,nihil,recusandae,itaque
39438,tempore,repudiandae,aliquam,ducimus
72045,placeat,qui,dicta,dolorem
62396,doloremque,at,quae,qui
60468,ducimus,quis,nobis,optio
46282,perspiciatis,magnam,tempore,adipisci
76222,architecto,perferendis,quia,veritatis
79650,deserunt,rem,natus,earum
44158,nobis,corrupti,consectetur,libero
87069,quasi,quas,hic,consectetur
78466,officia,qui,voluptatum,est
31662,temporibus,architecto,assumenda,animi
59423,magni,maiores,nihil,enim
35312,sed,voluptates,a,eaque
22422,unde,id,quam,similique
33497,laudantium,sunt,animi,dolore
90946,quas,vitae,quibusdam,dolores
61359,id,saepe,quo,quas
71631,nobis,explicabo,natus,nam
57856,quidem,dolor,officia,corporis
63287,porro,sapiente,nesciunt,similique
29557,ratione,quia,beatae,quis
34833,assumenda,illo,quia,culpa
62258,deleniti,ipsum,inventore,rem
36717,similique,nesciunt,quo,deserunt
70573,assumenda,et,vitae,consequatur
67831,eligendi,neque,repellat,ex
97515,possimus,doloremque,vel,deserunt
26313,animi,eum,saepe,sed
22710,dicta,ipsam,necessitatibus,maxime
72188,amet,repudiandae,magnam,commodi
51315,iusto,pariatur,deleniti,necessitatibus
26032,officiis,voluptate,impedit,quas
11124,veritatis,eveniet,molestiae,impedit
12461,exercitationem,dolores,accusamus,dolorum
18712,sunt,eligendi,voluptatum,illo
53926,vel,aperiam,hic,consequatur
69393,voluptatum,accusamus,hic,laborum
73182,sit,dolor,suscipit,ut
20187,ex,tenetur,totam,autem
77953,quasi,in,ipsum,eligendi
58332,eius,distinctio,vero,quae
22023,voluptatum,eos,vitae,ipsum
46501,totam,commodi,expedita,nostrum
77733,voluptate,a,dolores,fuga
28597,perferendis,deserunt,numquam,suscipit
70900,molestias,cumque,reiciendis,error
61680,consectetur,occaecati,voluptatibus,possimus
32914,nobis,perspiciatis,iusto,laudantium
51459,laudantium,blanditiis,suscipit,modi
58611,magnam,hic,reiciendis,in
