prod_id,prod_type,interest_rate_apr,processing_fee_logic,tenure_months
eum,eum,explicabo,ex,blanditiis
quo,alias,et,labore,perferendis
modi,tempore,similique,facere,quas
magnam,pariatur,magnam,qui,quasi
ullam,dolores,facere,exercitationem,molestias
repellendus,debitis,expedita,sed,excepturi
sapiente,optio,error,vero,delectus
sunt,a,velit,doloremque,ipsum
dolores,dolor,quam,accusantium,nisi
modi,necessitatibus,eius,veniam,aliquid
ratione,delectus,esse,animi,doloribus
temporibus,consequatur,soluta,reiciendis,error
totam,explicabo,asperiores,suscipit,necessitatibus
sit,odit,occaecati,veritatis,maxime
facilis,aut,non,quis,beatae
mollitia,eaque,debitis,repudiandae,quos
accusantium,minus,aperiam,aliquid,eius
molestiae,id,deleniti,voluptatem,illo
esse,delectus,architecto,voluptate,nesciunt
nesciunt,iure,corrupti,debitis,sapiente
sapiente,labore,sequi,accusamus,dicta
ullam,maiores,excepturi,sequi,quo
unde,alias,beatae,architecto,et
maiores,hic,libero,praesentium,dolorum
qui,nostrum,nemo,beatae,iure
hic,dolor,aperiam,veniam,expedita
maiores,quos,rem,consectetur,doloremque
ex,excepturi,rerum,magni,ut
consequuntur,earum,provident,voluptates,ut
nesciunt,veniam,labore,dolores,nesciunt
ex,quisquam,rem,maiores,maxime
iusto,suscipit,facere,voluptatem,in
necessitatibus,soluta,est,adipisci,amet
blanditiis,esse,nam,delectus,nisi
natus,dolor,quia,optio,aperiam
veniam,exercitationem,autem,et,ducimus
sit,perspiciatis,reiciendis,aliquid,cumque
similique,cum,incidunt,eum,blanditiis
ad,praesentium,debitis,eligendi,cum
quae,enim,nesciunt,numquam,facere
ullam,aliquam,nesciunt,quam,explicabo
esse,possimus,id,similique,eum
explicabo,quia,aliquid,molestiae,animi
sit,vero,rerum,molestias,ipsam
dolorum,quasi,non,corrupti,aliquid
nisi,incidunt,molestiae,tempora,deserunt
vel,quidem,enim,praesentium,dicta
odio,suscipit,reprehenderit,et,facilis
repellat,fuga,cupiditate,distinctio,at
quas,rerum,alias,aut,nobis
debitis,delectus,ducimus,eos,quas
ullam,iusto,distinctio,similique,dolores
incidunt,voluptate,tempore,molestiae,accusamus
aliquid,ad,necessitatibus,doloribus,porro
praesentium,veritatis,laborum,ullam,facilis
occaecati,distinctio,voluptatum,dolores,qui
maxime,vel,voluptatum,deserunt,doloribus
repudiandae,maiores,tempore,praesentium,saepe
at,eum,eius,deserunt,libero
molestiae,animi,animi,libero,laudantium
iusto,mollitia,ducimus,explicabo,adipisci
quis,quasi,impedit,occaecati,quisquam
atque,suscipit,recusandae,voluptates,illo
unde,saepe,sapiente,harum,quidem
accusantium,ea,quisquam,alias,incidunt
optio,cupiditate,id,at,perspiciatis
nobis,architecto,ipsam,minima,voluptatum
alias,non,occaecati,possimus,accusantium
accusantium,nihil,asperiores,officia,adipisci
eum,repellendus,officiis,voluptatem,hic
dicta,nihil,earum,incidunt,unde
facere,repellat,doloremque,accusantium,molestiae
