loan_id,emi_id,bounce_reason
20168,minus,aliquam
35877,cumque,nesciunt
92830,non,excepturi
35603,culpa,minima
16234,saepe,officiis
78653,possimus,harum
92416,tenetur,molestiae
25827,tenetur,ratione
28742,mollitia,tempore
81723,deserunt,eveniet
87859,facilis,explicabo
11035,vitae,modi
85650,quisquam,aut
20127,a,itaque
47985,nihil,veniam
68963,error,quidem
58790,et,deserunt
38592,quaerat,unde
82323,hic,velit
29269,voluptatibus,sed
49530,dicta,rerum
56729,tempora,error
49995,mollitia,magni
79126,perspiciatis,nisi
23478,nobis,ducimus
75010,doloremque,natus
37262,corporis,iure
96511,fugit,exercitationem
89379,ex,cumque
43846,voluptates,doloremque
12948,optio,natus
29602,odio,voluptatum
26452,nisi,doloremque
44543,eligendi,corporis
75415,accusantium,reprehenderit
66655,nostrum,repellat
76255,accusamus,quas
69031,ut,ex
91615,deserunt,assumenda
59255,ad,facilis
49624,maxime,incidunt
42168,explicabo,quasi
15397,nesciunt,tempora
25832,deleniti,tempora
18344,adipisci,occaecati
52834,ipsa,deserunt
94547,possimus,iste
22558,molestiae,ipsa
34630,tempore,harum
65334,rerum,dolorem
43188,iusto,ea
52036,accusamus,cum
31741,exercitationem,reprehenderit
15443,consequuntur,eos
88337,accusamus,voluptatum
88678,aperiam,soluta
38892,architecto,enim
37765,quo,voluptatum
57167,explicabo,illum
96619,sequi,est
63758,rerum,voluptatum
63318,eius,vitae
60503,eligendi,voluptatum
53375,dolore,mollitia
71460,recusandae,nostrum
26873,est,labore
78380,repellendus,eveniet
13115,temporibus,sapiente
32086,ea,esse
89014,quaerat,nihil
42971,soluta,beatae
20608,debitis,nobis
98728,quibusdam,fugit
64932,illo,rem
55901,perferendis,explicabo
88791,rem,sed
30806,numquam,quidem
44373,expedita,reprehenderit
36555,quia,exercitationem
51331,eaque,inventore
54121,voluptatum,sequi
95769,ipsa,soluta
93600,reiciendis,optio
46964,ratione,accusantium
25659,repellat,fugiat
54279,debitis,nobis
48073,quasi,voluptates
56847,voluptatibus,animi
34407,optio,corrupti
40317,vel,minima
87639,asperiores,dolore
98152,repellendus,consectetur
89270,laborum,est
88476,asperiores,iure
22439,cupiditate,natus
46005,accusamus,dolore
67234,maxime,minus
65740,ea,distinctio
60578,maxime,omnis
49398,nulla,iusto
69581,quisquam,quis
82695,optio,aliquam
53960,ipsa,quisquam
69855,dolores,ipsam
80924,laudantium,voluptas
69828,tempora,error
11244,iste,eveniet
36249,ab,iusto
59824,esse,repudiandae
34319,distinctio,molestiae
65241,nisi,officia
99645,quidem,asperiores
73754,rerum,eveniet
63130,pariatur,corporis
81966,unde,fuga
76781,sit,reprehenderit
87668,ullam,assumenda
49069,tempore,atque
81632,quos,quos
13655,sunt,vitae
46801,illo,placeat
33491,vel,omnis
28568,deserunt,magni
85445,esse,dolores
51091,harum,et
16936,atque,rem
96513,ipsa,nisi
98444,explicabo,error
89712,quas,in
73055,tenetur,nesciunt
88501,rerum,libero
80655,eum,deleniti
61210,officia,magnam
53740,enim,exercitationem
53915,eligendi,magni
33902,iste,eaque
49200,accusamus,architecto
37730,vero,reprehenderit
46498,ipsa,blanditiis
99153,sapiente,odit
72447,hic,vel
89997,tenetur,asperiores
94048,quae,nesciunt
34481,harum,eius
29418,in,fugit
54803,eligendi,quae
42213,dolore,enim
21476,quibusdam,id
48890,et,velit
98790,ex,autem
20386,quibusdam,quia
73450,quis,nostrum
46960,possimus,quidem
56108,temporibus,maiores
83919,unde,commodi
37865,eius,blanditiis
49472,quo,at
21183,saepe,vel
50804,commodi,sed
20255,odit,ratione
10241,vitae,adipisci
62656,quisquam,facere
72849,quis,delectus
25776,ullam,voluptatem
23823,esse,saepe
49917,dolore,veritatis
27779,culpa,culpa
29832,explicabo,consequatur
39944,fugiat,esse
83331,corrupti,fugit
14705,odit,incidunt
19582,in,sequi
65732,odio,reprehenderit
44084,quasi,non
32656,laudantium,cumque
96502,officia,doloribus
58032,recusandae,eos
47732,consequuntur,ducimus
42519,in,at
19600,deleniti,molestias
24462,architecto,asperiores
66878,exercitationem,voluptates
18093,inventore,saepe
11453,esse,reiciendis
98661,magni,corporis
56339,illum,voluptates
41788,commodi,atque
46970,repudiandae,voluptatem
79364,odit,fuga
81583,perferendis,labore
90998,quas,sunt
30006,perspiciatis,amet
63207,porro,quos
15458,veniam,non
55185,molestiae,nemo
75390,possimus,excepturi
74528,commodi,eligendi
26375,nemo,sequi
50965,similique,veritatis
95885,adipisci,ratione
97208,nesciunt,id
60234,molestiae,quae
48002,facilis,sit
92500,possimus,dolor
93348,adipisci,optio
15083,quisquam,occaecati
34989,sequi,voluptatibus
88520,expedita,dolor
33934,voluptatum,accusantium
13668,ad,perspiciatis
20010,maxime,voluptate
54366,eius,earum
93749,ipsa,deleniti
54213,adipisci,tenetur
85148,non,beatae
52407,corrupti,accusamus
73821,asperiores,expedita
37492,harum,perferendis
15533,voluptate,praesentium
17540,repellendus,praesentium
43713,molestias,temporibus
54834,dolore,pariatur
36933,numquam,necessitatibus
62011,quasi,cumque
86604,odio,deleniti
59098,ducimus,aliquid
61376,odit,commodi
98490,perferendis,impedit
34518,repellendus,voluptatibus
64166,sit,optio
75139,itaque,esse
53800,quisquam,esse
88937,dicta,repellendus
20714,iure,adipisci
94653,cum,nulla
14720,voluptate,perspiciatis
39963,velit,similique
64926,excepturi,animi
15393,illo,totam
41457,ipsum,minus
32399,maxime,corporis
65391,pariatur,ullam
70303,sapiente,distinctio
13202,repudiandae,pariatur
50877,adipisci,nesciunt
53093,officiis,quas
78091,dicta,dolore
88229,odio,amet
16945,magni,dignissimos
67487,debitis,atque
69232,ducimus,rerum
91146,ipsa,nesciunt
19571,excepturi,accusamus
98765,a,laborum
96881,nulla,aut
97152,tempore,officiis
77471,atque,aperiam
96259,est,illum
94040,praesentium,dolor
27578,aliquid,possimus
37322,commodi,aliquam
52185,doloribus,iste
46025,eveniet,quisquam
48684,eius,rem
11438,voluptates,quam
38794,eum,dicta
50315,iste,quaerat
72603,labore,quae
63190,nihil,veniam
40803,at,autem
97481,omnis,ea
10447,tenetur,officia
28536,quidem,nesciunt
80750,aliquam,asperiores
67877,incidunt,provident
99067,suscipit,rerum
90615,non,ex
61171,dignissimos,praesentium
60243,quia,hic
33403,quisquam,beatae
68445,quos,harum
61982,dicta,est
63806,assumenda,neque
14055,molestias,impedit
45112,distinctio,inventore
41976,similique,minus
14081,possimus,expedita
56338,dolores,reiciendis
34168,repudiandae,modi
67462,modi,corrupti
38224,mollitia,consequatur
50364,veniam,necessitatibus
98709,alias,soluta
71274,incidunt,expedita
49430,nobis,asperiores
62092,quod,pariatur
67350,in,accusantium
15757,consectetur,et
29789,animi,culpa
22831,placeat,totam
68947,odio,soluta
76918,atque,molestiae
21910,quasi,suscipit
66280,velit,est
29791,natus,sint
85673,unde,autem
73945,pariatur,quos
82763,dolorum,velit
25821,molestias,corporis
36973,dicta,delectus
97719,ad,porro
42593,ea,et
60251,sunt,molestias
31560,a,quaerat
42274,repellendus,sapiente
15304,saepe,id
15295,sunt,natus
74225,itaque,porro
56826,illum,nisi
56020,fuga,assumenda
95713,atque,architecto
94379,aliquam,voluptates
80301,corrupti,asperiores
19862,architecto,odio
49513,at,reiciendis
70471,odit,aut
89722,blanditiis,placeat
39419,sit,assumenda
73811,deleniti,ipsa
62011,deserunt,recusandae
18301,harum,reiciendis
99441,deserunt,nemo
80758,eligendi,culpa
22679,doloribus,nobis
59439,temporibus,fugit
80272,sapiente,expedita
54997,odit,minus
35873,nemo,corrupti
23262,quam,sed
64647,distinctio,veniam
73159,similique,quae
35901,animi,recusandae
85246,ipsum,earum
50822,excepturi,corporis
44755,ullam,esse
35445,quos,aspernatur
44440,nemo,ipsam
78734,impedit,voluptatibus
69666,ut,eos
41362,id,rem
77837,et,consectetur
21317,voluptatem,itaque
46080,ex,veritatis
26414,labore,velit
13027,deleniti,quos
65786,voluptates,possimus
11343,alias,omnis
27386,incidunt,velit
34217,amet,vero
75421,aliquam,provident
14271,id,dignissimos
94153,omnis,sint
26770,deleniti,officia
29880,voluptatem,laboriosam
64675,a,accusantium
16882,aut,odio
90392,cupiditate,possimus
44534,enim,quod
84153,ipsa,cum
96645,neque,atque
85613,ea,tempore
57278,voluptatibus,adipisci
62384,repellat,dicta
19791,fugit,laborum
59937,excepturi,omnis
30210,aperiam,magni
79784,ullam,dolor
22523,in,nam
41852,itaque,fuga
16430,delectus,quas
36190,repudiandae,molestias
62656,nam,atque
14162,impedit,recusandae
83311,a,maxime
15435,quasi,optio
11145,iusto,facilis
56480,voluptates,soluta
87140,eligendi,magnam
43002,quisquam,saepe
40483,sunt,amet
41940,occaecati,quidem
43399,exercitationem,minima
80176,cupiditate,reprehenderit
48902,aliquam,non
99855,iure,quas
72787,fugit,architecto
84599,laborum,quaerat
50875,perferendis,blanditiis
98819,dolorem,quisquam
12602,id,quas
14415,mollitia,quidem
64597,tenetur,accusantium
75736,repellat,delectus
33807,reiciendis,reprehenderit
80719,itaque,facere
33198,possimus,dolorum
97218,atque,dolor
75762,delectus,numquam
32073,magni,voluptates
23783,voluptas,voluptatem
26651,suscipit,harum
26043,corrupti,eius
79153,excepturi,vitae
99901,iste,nostrum
71828,debitis,dolores
32732,nulla,explicabo
75337,dolor,aperiam
30921,dicta,dolor
52861,blanditiis,sapiente
18266,optio,fugit
42814,sed,impedit
23425,nostrum,similique
47319,accusantium,officia
70325,iusto,recusandae
73704,quis,sit
57338,labore,sapiente
39752,vel,veniam
62112,vel,tempore
16260,cumque,ut
70433,nostrum,adipisci
57861,quasi,occaecati
67342,voluptatum,atque
28222,nesciunt,culpa
29320,eum,libero
71393,corporis,nihil
43586,placeat,occaecati
30802,beatae,inventore
79791,quia,non
44449,consectetur,dicta
90924,accusamus,perspiciatis
37953,facere,deleniti
82196,expedita,quasi
45415,perspiciatis,blanditiis
12188,asperiores,quo
21328,reprehenderit,perspiciatis
52683,quaerat,fugiat
75698,voluptates,in
42299,at,quis
13130,dolorum,ducimus
34631,consectetur,ipsa
86291,deleniti,maxime
54773,modi,temporibus
50686,quas,minima
29234,quibusdam,consequatur
92861,aliquid,iusto
99144,consectetur,provident
88728,sint,at
14243,fuga,dicta
54391,corporis,quae
29556,aliquam,nisi
39155,iusto,soluta
82513,illum,quaerat
29217,nisi,consequatur
35037,unde,cumque
14448,maiores,expedita
83761,ipsa,ipsa
79125,doloremque,accusamus
16236,accusamus,deserunt
25298,sed,reprehenderit
81753,fuga,rem
92327,recusandae,delectus
40276,soluta,non
73775,dolor,laborum
13726,ea,velit
64164,expedita,eveniet
35429,dolorem,ad
29664,soluta,nihil
97213,quisquam,ratione
91212,dolorem,nam
45110,assumenda,qui
64021,quam,doloribus
36032,tempore,eos
88683,eius,quam
50686,officiis,consequuntur
63615,tempore,recusandae
35928,nobis,minus
49350,officiis,aspernatur
83113,occaecati,ullam
64033,molestiae,repudiandae
41330,explicabo,consectetur
13428,eius,cumque
87142,quisquam,eos
84264,cum,totam
61767,velit,veniam
66843,quaerat,maiores
81453,ex,laudantium
71404,fugit,repellat
10742,porro,distinctio
41835,aspernatur,provident
85214,possimus,nemo
65508,voluptatum,laudantium
34271,laborum,maxime
80302,eum,numquam
36395,libero,dolore
30871,est,doloribus
51683,molestias,ipsa
91259,distinctio,asperiores
36216,quam,numquam
88164,consectetur,odio
59398,est,eius
47519,nobis,velit
54559,hic,suscipit
35685,quaerat,quas
28012,id,asperiores
33319,nostrum,accusamus
92838,doloremque,perferendis
34060,eligendi,commodi
19794,reprehenderit,nostrum
24086,odio,adipisci
19400,distinctio,incidunt
29362,nihil,nostrum
72959,iste,itaque
41935,placeat,similique
63265,velit,impedit
97971,quos,ut
44157,optio,laboriosam
87544,quod,incidunt
79883,alias,explicabo
29888,neque,harum
97247,consectetur,in
26138,quod,asperiores
39314,natus,autem
73930,quaerat,autem
34568,nam,doloribus
81606,earum,soluta
44746,maxime,vero
41335,blanditiis,incidunt
74937,exercitationem,neque
74422,voluptatum,magnam
82447,corrupti,occaecati
36255,quae,voluptas
44638,sequi,iusto
72138,dignissimos,non
82598,laudantium,soluta
61477,harum,neque
88444,quis,possimus
89214,velit,voluptates
61454,laboriosam,ducimus
80887,tempora,neque
48754,libero,unde
53737,totam,numquam
97609,distinctio,dignissimos
25927,reiciendis,reiciendis
65849,amet,quam
47554,explicabo,quae
91964,reprehenderit,et
80974,aspernatur,officia
73167,accusantium,enim
51580,nobis,delectus
12017,porro,veniam
99736,a,soluta
86693,sint,quaerat
